Michigan 5-Year Inflation Expectations%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/michigan-5-year-inflation-expectations-1568,FALSE
Philadelphia Fed Manufacturing Index%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/philadelphia-fed-manufacturing-index-236,FALSE
Cushing Crude Oil Inventories%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,SWN,CVX,Null,Null,Null,https://www.investing.com/economic-calendar/eia-weekly-cushing-oil-inventories-1657,FALSE
NY Empire State Manufacturing Index%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/ny-empire-state-manufacturing-index-323,FALSE
Cap Goods Ship Non Defense Ex Air (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/cap-goods-ship-non-defense-ex-air-1751,FALSE
U.S. Baker Hughes Total Rig Count%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,SWN,CVX,Null,Null,Null,https://www.investing.com/economic-calendar/u.s.-baker-hughes-total-rig-count-1810,FALSE
ISM Non-Manufacturing Employment%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/ism-non-manufacturing-employment-1048,FALSE
Michigan Inflation Expectations%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/michigan-inflation-expectations-389,FALSE
Michigan Consumer Expectations%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/michigan-consumer-expectations-900,FALSE
S&P/CS HPI Composite - 20 n.s.a. (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/s-p-cs-hpi-composite-20-n.s.a.-329,FALSE
TIC Net Long-Term Transactions%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/tic-net-long-term-transactions-283,FALSE
ISM Manufacturing Employment%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/ism-manufacturing-employment-1046,FALSE
U.S. Baker Hughes Oil Rig Count%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,SWN,CVX,Null,Null,Null,https://www.investing.com/economic-calendar/baker-hughes-u.s.-rig-count-1652,FALSE
ADP Nonfarm Employment Change%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/adp-nonfarm-employment-change-1,FALSE
Fed Monetary Policy Report%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/fed-monetary-policy-report-1836,TRUE
Michigan Consumer Sentiment%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/michigan-consumer-sentiment-320,FALSE
FOMC Economic Projections%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/fomc-economic-projections-1061,TRUE
ISM Non-Manufacturing PMI%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/ism-non-manufacturing-pmi-176,FALSE
Average Hourly Earnings (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/average-hourly-earnings-1777,FALSE
Core Durable Goods Orders (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,WHR,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-durable-goods-orders-59,FALSE
Crude Oil Inventories%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/eia-crude-oil-inventories-75,FALSE
Private Nonfarm Payrolls%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/private-nonfarm-payrolls-528,FALSE
API Weekly Crude Oil Stock%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,SWN,CVX,Null,Null,Null,https://www.investing.com/economic-calendar/api-weekly-crude-stock-656,FALSE
Fed Interest Rate Decision%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/interest-rate-decision-168,FALSE
Federal Budget Balance%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/federal-budget-balance-369,FALSE
FOMC Press Conference%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/fomc-press-conference-1692,TRUE
